2026-03-28 22:25:13,215 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T16:55:13.214963Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 401, "payload": {"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": 0.001, "timestamp": 1774716911662, "signature": "***"}, "response": {"code": -2015, "msg": "Invalid API-key, IP, or permissions for action"}, "error": "Binance API Error [-2015]: Invalid API-key, IP, or permissions for action"}
2026-03-28 22:25:14,143 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T16:55:14.143068Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 401, "payload": {"symbol": "BTCUSDT", "side": "SELL", "type": "LIMIT", "quantity": 0.001, "price": 90000.0, "timeInForce": "GTC", "timestamp": 1774716913461, "signature": "***"}, "response": {"code": -2015, "msg": "Invalid API-key, IP, or permissions for action"}, "error": "Binance API Error [-2015]: Invalid API-key, IP, or permissions for action"}
2026-03-28 22:25:48,270 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T16:55:48.270183Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 400, "payload": {"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": 0.001, "timestamp": 1774716947700, "signature": "***"}, "response": {"code": -1021, "msg": "Timestamp for this request was 1000ms ahead of the server's time."}, "error": "Binance API Error [-1021]: Timestamp for this request was 1000ms ahead of the server's time."}
2026-03-28 22:25:49,075 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T16:55:49.075884Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 400, "payload": {"symbol": "BTCUSDT", "side": "SELL", "type": "LIMIT", "quantity": 0.001, "price": 90000.0, "timeInForce": "GTC", "timestamp": 1774716948498, "signature": "***"}, "response": {"code": -1021, "msg": "Timestamp for this request was 1000ms ahead of the server's time."}, "error": "Binance API Error [-1021]: Timestamp for this request was 1000ms ahead of the server's time."}
2026-03-28 22:26:52,739 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T16:56:52.739370Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 400, "payload": {"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": 0.001, "timestamp": 1774716998291, "signature": "***"}, "response": {"code": -1022, "msg": "Signature for this request is not valid."}, "error": "Binance API Error [-1022]: Signature for this request is not valid."}
2026-03-28 22:26:54,110 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T16:56:54.110054Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 400, "payload": {"symbol": "BTCUSDT", "side": "SELL", "type": "LIMIT", "quantity": 0.001, "price": 90000.0, "timeInForce": "GTC", "timestamp": 1774716999749, "signature": "***"}, "response": {"code": -1022, "msg": "Signature for this request is not valid."}, "error": "Binance API Error [-1022]: Signature for this request is not valid."}
2026-03-28 22:27:45,481 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T16:57:45.480989Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 400, "payload": {"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": 0.001, "timestamp": 1774717051115, "signature": "***"}, "response": {"code": -1022, "msg": "Signature for this request is not valid."}, "error": "Binance API Error [-1022]: Signature for this request is not valid."}
2026-03-28 22:27:46,793 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T16:57:46.793109Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 400, "payload": {"symbol": "BTCUSDT", "side": "SELL", "type": "LIMIT", "quantity": 0.001, "price": 90000.0, "timeInForce": "GTC", "timestamp": 1774717052422, "signature": "***"}, "response": {"code": -1022, "msg": "Signature for this request is not valid."}, "error": "Binance API Error [-1022]: Signature for this request is not valid."}
2026-03-28 22:31:37,989 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T17:01:37.989450Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 400, "payload": {"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": 0.001, "timestamp": 1774717283583, "signature": "***"}, "response": {"code": -1022, "msg": "Signature for this request is not valid."}, "error": "Binance API Error [-1022]: Signature for this request is not valid."}
2026-03-28 22:31:39,422 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T17:01:39.422507Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 400, "payload": {"symbol": "BTCUSDT", "side": "SELL", "type": "LIMIT", "quantity": 0.001, "price": 90000.0, "timeInForce": "GTC", "timestamp": 1774717285010, "signature": "***"}, "response": {"code": -1022, "msg": "Signature for this request is not valid."}, "error": "Binance API Error [-1022]: Signature for this request is not valid."}
2026-03-28 22:31:56,546 | ERROR    | logging_config:62 | API ERROR: {"timestamp": "2026-03-28T17:01:56.546380Z", "method": "POST", "endpoint": "/fapi/v1/order", "status_code": 400, "payload": {"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": 0.001, "timestamp": 1774717302092, "signature": "***"}, "response": {"code": -1022, "msg": "Signature for this request is not valid."}, "error": "Binance API Error [-1022]: Signature for this request is not valid."}
